"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'2101";"Extracts, essences and concentrates, of coffee, tea or mat� and preparations with a basis of ...";16330;15992;15673;21384;28614;29811;32871;27059;26885;30070;24733;25638;22749;24378;27910;31010;27694;31822;28410;30980
"'3301";"Essential oils, whether or not terpeneless, incl. concretes and absolutes; resinoids; extracted ...";18185;20270;14739;20005;27528;34628;23784;29628;32636;28530;33702;28863;27716;34660;41668;41707;37966;31799;35487;29554
"'1510";"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...";561;6221;350;352;1374;5012;3443;5971;8005;3956;9328;10060;12088;11628;22572;27415;12677;7355;27098;29476
"'0407";"Birds' eggs, in shell, fresh, preserved or cooked";0;0;0;0;0;372;280;2434;4233;5908;5042;6511;7733;3625;8085;8572;10004;17038;25094;29277
"'8412";"Engines and motors (excl. steam turbines, internal combustion piston engine, hydraulic turbines, ...";773;720;4869;841;22;122;12;61;498;3237;259;282;308;655;86;3610;57352;46602;41262;29125
"'6305";"Sacks and bags, of a kind used for the packing of goods, of all types of textile materials";999;454;1611;3663;4337;4242;1898;3829;4221;10328;12783;14639;15001;10996;17152;14921;16966;15136;21544;28902
"'2529";"Feldspar; leucite, nepheline and nepheline syenite; fluorspar";9460;13675;13373;18830;16209;14974;17245;17588;18807;25762;39021;34976;25201;14222;11904;20046;30434;21823;22776;28307
"'0703";"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled";955;2029;2820;5311;4739;4388;3862;4365;5225;5988;10838;11835;8534;10370;10155;17816;17664;21466;27724;28147
"'4412";"Plywood, veneered panel and similar laminated wood (excl. sheets of compressed wood, cellular ...";23771;38548;26185;34672;38369;28008;2434;17580;16728;15909;9007;7263;5747;10591;14349;14280;16781;15010;21389;27744
"'7108";"Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured ...";21504;16311;18800;20553;13342;18996;40002;175429;54366;27366;18733;99148;95300;116753;61304;40126;63621;45382;40363;27615
"'8443";"Printing machinery used for printing by means of plates, cylinders and other printing components ...";26;700;516;224;189;363;584;340;726;762;1945;2034;22943;25242;29700;29472;29265;25107;24230;26762
"'2602";"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a ...";54;10;1369;2844;7273;24274;11395;16851;10971;16742;22123;12714;13392;21147;17295;20555;14677;25349;24932;25110
"'3304";"Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or ...";2780;2276;3312;3215;3652;5726;4471;9107;15599;8027;19178;35113;28966;31663;39568;40440;41664;18808;17824;24779
"'6405";"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...";10957;15788;14887;28255;32484;34764;34861;42007;45543;33262;34606;26625;31646;41991;47943;42059;32605;26323;29004;24444
"'4107";"Leather further prepared after tanning or crusting ""incl. parchment-dressed leather"", of bovine ...";874;2516;1436;2972;3069;4523;3146;10084;25418;19518;30978;40269;28896;27412;29361;30117;26007;10888;17689;23783
"'6210";"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated; ...";20452;19549;18492;27710;58605;35976;19014;13025;22069;21797;6060;6957;7599;16127;16019;16543;22270;87618;46902;23701
"'6114";"Special garments for professional, sporting or other purposes, n.e.s., knitted or crocheted";6199;5051;4850;5512;8176;4973;3732;2936;5398;8168;7882;11677;17561;19131;27624;24634;23376;16150;21253;23355
"'7010";"Carboys, bottles, flasks, jars, pots, phials, ampoules and other containers, of glass, of a ...";149;90;193;371;219;277;252;650;878;5120;3993;5193;3989;5536;4489;6791;7108;6703;9654;22847
"'7208";"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, ...";449;1953;2674;1330;2183;2590;2207;10969;35446;38867;23599;9255;10126;13902;30216;22705;12268;6898;41248;22370
"'1704";"Sugar confectionery not containing cocoa, incl. white chocolate";2865;4458;6878;9399;10219;14697;13717;14381;17629;23521;33677;46623;33400;35350;30670;20975;21441;16319;23066;21577
