"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'6212";"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, ...";139981;157400;143621;150204;176147;172309;136382;124021;138748;126097;120723;106123;91955;88502;96555;102915;98185;82015;111882;113035
"'6205";"Men's or boys' shirts (excl. knitted or crocheted, nightshirts, singlets and other vests)";133812;138848;134303;119047;137925;124326;122036;118380;132187;125841;118480;121503;89419;97490;93762;94583;104572;83484;116266;110229
"'3926";"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s.";7569;8639;9620;11933;22133;18050;17192;31135;31499;35455;32683;43303;45698;49100;56850;62085;86844;95708;103761;104381
"'8707";"Bodies, incl. cabs, for tractors, motor vehicles for the transport of ten or more persons, ...";0;25;2;71;1282;770;462;392;2498;8768;9613;24946;56236;35263;36331;54597;16397;18411;16132;100603
"'7602";"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...";10767;14659;22668;34521;36024;33640;19061;43113;53154;56729;46884;47683;34270;36968;55996;49700;36495;38578;86871;97212
"'6406";"Parts of footwear, incl. uppers whether or not attached to soles other than outer soles; removable ...";70697;67726;66238;76617;94397;96902;78592;72409;90726;73131;83658;96964;78779;78082;83823;82519;77471;57218;70085;96602
"'8105";"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, ...";28267;67757;44363;43048;88868;113820;52795;58069;54911;36027;35113;42246;46991;40424;79337;108019;87018;77404;84317;92375
"'4819";"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding ...";7540;13127;18083;17594;32159;17322;16926;37901;52556;45504;44339;62078;55281;52982;55030;63738;67944;71017;84817;89880
"'2607";"Lead ores and concentrates";7627;17105;16747;23130;72799;44487;44613;73386;98433;78731;76374;66943;58755;67518;82945;86968;75999;69856;82978;86593
"'4016";"Articles of vulcanised rubber (excl. hard rubber), n.e.s.";327;777;3534;5193;6743;6773;10749;40870;62508;69758;42755;34364;30146;55115;52235;74570;82710;88370;77770;85720
"'3917";"Tubes, pipes and hoses, and fittings therefor, e.g. joints, elbows, flanges, of plastics";2036;1966;18363;10341;24355;45811;21289;10962;8020;8299;8328;20260;17831;29906;33723;36982;46550;57516;71048;85150
"'7106";"Silver, incl. silver plated with gold or platinum, unwrought or in semi-manufactured forms, ...";31318;37574;50907;80120;86811;109839;106567;189039;286946;237055;146065;113501;104073;123907;116442;70588;93508;103378;111495;82577
"'1605";"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excl. smoked)";348;708;3748;4278;9534;19007;30463;22154;11093;23795;20931;28269;31086;28274;22080;48320;81023;66133;88552;80383
"'2523";"Cement, incl. cement clinkers, whether or not coloured";7608;5244;9104;3822;829;31;1045;1477;3198;31641;69853;20258;93567;69856;75061;66983;48227;43715;59346;79248
"'1902";"Pasta, whether or not cooked or stuffed with meat or other substances or otherwise prepared, ...";2706;3650;4752;4712;7193;9755;8847;9382;12023;17550;24368;29195;31396;31044;36121;38797;42024;56041;68983;76247
"'2106";"Food preparations, n.e.s.";10757;9038;12989;14498;14866;18093;20566;22569;19972;18121;30157;33080;34982;42731;54015;91796;85967;46558;60855;73081
"'6110";"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted (excl. ...";220551;210392;187700;192157;177574;181073;190658;164737;161070;102988;103892;120866;95179;93980;101432;103870;82763;72449;86816;72571
"'1302";"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...";32705;40867;44738;41641;42152;35908;32438;39180;35828;36802;45585;49782;44088;52835;55007;63819;60069;69614;70620;70343
"'1507";"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified)";1506;813;74;232;12483;10882;10440;15151;24898;15177;17112;22527;20979;19049;23054;9072;6714;28401;46790;69362
"'6402";"Footwear with outer soles and uppers of rubber or plastics (excl. waterproof footwear of heading ...";759;1693;1311;3578;7856;9324;9759;12670;19356;18409;25195;28873;33245;33669;45700;51684;51750;52846;72710;67170
"'1211";"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...";16402;15808;20635;22148;27368;31312;27113;31066;36393;30571;36926;42177;43253;44587;49817;62407;63933;54651;68027;65163
"'2608";"Zinc ores and concentrates";33961;38676;62702;118076;85988;40870;24719;43740;39803;40067;37715;44494;45704;55709;83208;83133;55530;43213;63952;64476
"'7308";"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...";2254;2990;5324;6084;7830;20321;28332;10717;25594;19743;17221;18794;24552;23704;30639;41489;54162;58069;51905;60231
"'7612";"Casks, drums, cans, boxes and similar containers, incl. rigid or collapsible tubular containers, ...";719;620;618;584;672;764;797;548;14868;22627;32428;46402;42564;51782;42265;33842;31914;32875;50336;57822
"'0504";"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...";24349;34960;40977;47771;34026;26001;55535;52946;28235;31207;18988;22862;36244;38573;83774;66422;84484;92617;79658;55266
"'9403";"Furniture and parts thereof, n.e.s. (excl. seats and medical, surgical, dental or veterinary ...";23501;25222;32099;38171;41459;35600;32251;26480;34771;85499;52025;55419;53617;55825;63816;72868;70619;45570;50624;54454
"'7604";"Bars, rods and profiles, of aluminium, n.e.s.";5683;6785;7927;11359;12423;15617;12067;13711;18413;15167;12847;13830;15379;17924;24738;35469;28881;26288;39610;54343
"'2402";"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes";215;229;3;9888;36;13354;15842;15269;22309;1682;21482;58623;49028;43938;51366;61564;70456;20375;25399;54077
"'2716";"Electrical energy";2039;0;0;0;0;0;0;5712;516;802;0;0;524;0;182;16793;60744;7856;44766;53791
"'8504";"Electrical transformers, static converters, e.g. rectifiers, and inductors; parts thereof";4112;5087;6921;10167;18922;25203;22113;27519;18542;21372;22481;30532;32792;31417;32074;39111;39682;45242;45647;53243
"'6103";"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches ...";21207;24317;22806;19733;21184;19957;23785;17460;38181;143982;88580;79133;54223;43327;43916;49687;42270;33330;46888;52754
"'8411";"Turbojets, turbopropellers and other gas turbines";474;91;3;50;0;258;14229;103680;67509;44146;108485;3633;3229;3358;29170;69278;65282;24654;32507;52128
"'1509";"Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...";6995;49454;114324;70409;17694;10029;9925;54534;79977;30684;21959;39847;75767;53766;33503;50552;67168;36511;40906;51893
"'8415";"Air conditioning machines comprising a motor-driven fan and elements for changing the temperature ...";12;1122;2087;2224;1540;1936;1783;2159;1087;1611;1806;4024;1575;1217;2718;2741;6283;46309;54619;51464
"'9999";"Commodities not elsewhere specified";259;348;305;956;523;3685;1027;26557;370;23177;9418;2833;3058;1794;4910;68177;0;0;0;50008
"'4202";"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels, spectacle cases, ...";20081;21662;28560;32970;24880;27176;22866;27037;26896;28199;31792;37928;32138;38169;38845;41560;42780;31119;39141;49732
"'6910";"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...";24500;27462;28085;28699;29986;38218;25514;28315;32531;31234;36894;39754;36836;36856;39114;39439;43188;40191;55818;48888
"'8421";"Centrifuges, incl. centrifugal dryers (excl. those for isotope separation); filtering or purifying ...";3098;4306;3178;2444;2884;3987;2625;3876;4053;7276;7662;8267;8101;7451;7255;20683;30427;40099;41957;47977
"'3923";"Articles for the conveyance or packaging of goods, of plastics; stoppers, lids, caps and other ...";2519;3484;3937;5079;13202;15747;23763;39581;41753;22575;25857;30656;23945;20365;21173;29703;28247;29810;40131;44496
"'8108";"Titanium and articles thereof, n.e.s.; titanium waste and scrap (excl. ash and residues containing ...";353;374;387;497;947;710;254;215;466;3716;1796;1860;3203;10506;18168;38193;43564;34505;52810;43249
"'6106";"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted (excl. T-shirts and ...";40069;49640;43608;46064;72966;56616;54364;57866;53616;49005;48776;44607;46844;50096;46526;37626;48455;49867;48666;43087
