"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'761290";"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, ...";0;16;0;22;28;1;133;299;14700;22050;32042;46217;42348;51503;42146;33599;31777;32702;50066;57515
"'030389";"Frozen fish, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;24896;30732;36811;22421;22234;30241;32975;56523
"'621132";"Men's or boys' tracksuits and other garments, n.e.s. of cotton (excl. knitted or crocheted)";22577;29456;30478;36046;40525;39061;33759;32193;42729;38317;42587;40797;42721;41688;53143;63561;60527;47130;57247;56233
"'050400";"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...";24349;34960;40977;47771;34026;26001;55535;52946;28235;31207;18988;22862;36244;38573;83774;66422;84484;92617;79658;55266
"'271600";"Electrical energy";2039;0;0;0;0;0;0;5712;516;802;0;0;524;0;182;16793;60744;7856;44766;53791
"'841191";"Parts of turbojets or turbopropellers, n.e.s.";81;90;0;0;0;0;0;5834;0;59;13064;1542;1638;1886;28170;67175;64619;15725;28739;52043
"'999999";"Commodities not elsewhere specified";267;348;315;1066;523;3685;1027;26557;370;23177;9418;2833;3058;1794;4910;68177;0;0;0;50008
"'760421";"Hollow profiles of aluminium alloys, n.e.s.";5666;6784;7916;11328;12174;15339;12050;13649;17071;13764;12532;13234;14873;17375;23765;29714;25933;24215;35329;48183
"'190240";"Couscous, whether or not prepared";2649;3611;4660;4634;6998;9112;8499;8763;11050;16627;22577;25941;26599;25488;29380;29250;28933;41418;51390;47582
"'070993";"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp.""";0;0;0;0;0;0;0;0;0;0;0;0;20954;19565;20384;40377;42759;32445;38218;46563
"'841520";"Air conditioning machines of a kind used for persons, in motor vehicles";2;1;1;0;0;11;133;10;5;5;5;13;3;5;9;27;4362;41402;50016;45906
"'691010";"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...";22136;24651;25454;26206;27064;35202;22466;25013;28416;26002;32288;33690;31249;31622;35099;36098;39990;36858;51744;45855
"'640299";"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...";475;1404;1173;1620;3689;3972;4096;3857;6251;8263;10321;17650;15065;18024;24746;31050;32339;39488;45281;44612
"'481930";"Sacks and bags, of paper, paperboard, cellulose wadding or webs of cellulose fibres, having ...";1538;991;1590;4075;5992;8495;7426;7312;13165;19817;27145;36270;31582;32102;29279;36550;37280;38342;38628;44603
"'620439";"Women's or girls' jackets and blazers of textile materials (excl. of wool, fine animal hair, ...";27810;31056;31900;32889;26119;34375;36299;31635;33599;34497;45923;23450;26451;25381;25073;38508;46354;30827;64349;44288
"'030354";"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""";0;0;0;0;0;0;0;0;0;0;0;0;12960;15145;12015;17722;15437;54213;85594;42996
"'391739";"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...";94;12;265;70;86;1596;3161;3608;3116;4942;2338;7064;4035;3217;2301;1296;3329;13987;16048;42761
"'810890";"Articles of titanium, n.e.s.";338;372;380;371;931;683;225;172;455;3436;1647;1797;3143;10441;18007;38010;43338;34342;52630;42754
"'620630";"Women's or girls' blouses, shirts and shirt-blouses of cotton (excl. knitted or crocheted and ...";59956;70381;58448;89449;115893;130239;114660;96023;80825;56065;55880;61219;54070;89665;95149;71957;51312;51164;63754;42434
"'151590";"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...";594;927;1563;2805;6558;9908;11631;12840;16318;15501;22118;25589;26306;30746;26965;27095;32994;33698;39680;41123
"'160521";"Shrimps and prawns, prepared or preserved, not in airtight containers (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;8368;6411;19028;46548;76015;53335;63715;40217
"'611020";"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...";61361;68428;55573;57623;53613;44289;64262;43162;41697;30122;38814;54892;43781;38414;42789;46503;44514;39754;50913;39739
"'620444";"Women's or girls' dresses of artificial fibres (excl. knitted or crocheted and petticoats)";9679;7992;5292;8164;11564;21104;23746;22953;46566;40501;45767;54856;62086;67783;79557;91525;87032;52547;55437;39603
"'730890";"Structures and parts of structures, of iron or steel, n.e.s. (excl. bridges and bridge-sections, ...";1076;724;1269;3081;4789;12156;18271;8303;20200;11189;7871;6574;7681;8319;16467;18896;21961;31016;30778;39126
"'160529";"Shrimps and prawns, prepared or preserved, in airtight containers (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;21518;21107;1732;630;2944;11173;23023;37947
"'620449";"Women's or girls' dresses of textile materials (excl. of wool, fine animal hair, cotton or ...";5576;7954;9555;23978;28981;43740;48158;52877;38277;35838;31341;24780;20052;20879;24968;32238;31453;24114;38199;37688
"'030289";"Fresh or chilled fish, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;38835;36936;30688;32556;30872;29948;42168;37517
"'620319";"Men's or boys' suits of textile materials (excl. of wool, fine animal hair or synthetic fibres, ...";931;2467;2869;2681;2133;4584;6526;2574;4189;2771;10234;9231;7741;7164;5707;2574;6363;13530;27464;37237
"'842123";"Oil or petrol-filters for internal combustion engines";32;2;1;30;30;65;216;602;203;134;560;451;346;375;752;13821;24871;34467;35437;37099
"'721070";"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...";9713;22114;30776;40391;57103;72134;40201;39466;46845;56867;45238;37047;26598;36762;37487;29631;18006;28893;29509;37095
"'030229";"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...";949;1093;8949;7949;12;0;10803;6107;0;4;0;4267;13221;12627;30221;60782;61840;59413;40786;36737
"'854231";"Electronic integrated circuits as processors and controllers, whether or not combined with ...";0;0;0;0;0;0;0;0;0;0;0;0;3490;28291;32721;41001;45619;27534;24387;35195
"'070999";"Fresh or chilled vegetables n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;38900;31586;30779;27775;39356;35339;36448;35169
"'081190";"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ...";4496;5620;5989;7135;6662;11209;7413;6615;12505;9542;11525;8869;9248;12430;16735;16550;17620;17396;24448;34809
"'071190";"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...";1207;2068;1572;1937;1455;1412;1171;1038;1377;979;1167;878;39288;35748;31907;34114;31943;27717;37707;34733
"'940180";"Seats, n.e.s.";382;684;375;309;196;209;237;258;757;224;338;440;426;333;381;219;287;1624;274;33183
"'940320";"Metal furniture (excl. for offices, seats and medical, surgical, dental or veterinary furniture)";13219;14807;19332;22787;25074;20071;17934;14761;25527;74889;39015;37158;34448;37145;43593;48706;49651;28837;28378;32844
"'240220";"Cigarettes, containing tobacco";204;229;3;9530;36;12837;15253;2907;393;1034;751;1237;2187;1187;2410;3194;2921;8194;13712;32344
